id,slug,name,website,industry,size,founded_year,country,city,location,description,status,verified,created_at,contact_email,email_type,email_source,email_confidence,email_source_url,email_search_status
89,hello-coop,Hellō,https://hello.coop/,AI / Software / Digital,,,Portugal,Lisbon,"Lisbon, Portugal","AI / Software / Digital company founded by Rohan Harikumar in Lisbon, Portugal.",approved,0,2026-08-25 20:30:32,,,,,,Not found in current web pass
90,best-exotic-kerala-kitchen,The Best Exotic Kerala Kitchen,,Catering / Kerala Food,,,Cyprus,Nicosia,"Nicosia, Cyprus","Catering / Kerala Food company founded by Serene Mary Tharian in Nicosia, Cyprus.",approved,0,2026-08-26 08:57:28,,,,,,Business/contact found; no public email found
91,kalikut-story,The Kalikut Story,,Retail / Consumer,,,Cyprus,Nicosia,"Nicosia, Cyprus","Retail / Consumer company founded by Serene Mary Tharian, Gabriella Paphitis in Nicosia, Cyprus.",pending,0,2026-08-26 08:57:28,,,,,,Not found in current web pass
92,golden-ratio-limited,Golden Ratio Limited,,Professional Services,,,Cyprus,Nicosia,"Nicosia, Cyprus","Professional Services company founded by Abraham Malayatoor, Mathews Thomas Malayatoor in Nicosia, Cyprus.",pending,0,2026-08-26 08:57:28,,,,,,Not found in current web pass
93,instamat-cyprus,Instamat Cyprus Limited,,Professional Services,,,Cyprus,Nicosia,"Nicosia, Cyprus","Professional Services company founded by Abraham Malayatoor, Boris Zenkov in Nicosia, Cyprus.",pending,0,2026-08-26 08:57:28,,,,,,Not found in current web pass
94,athens-insider,Insider Publications / Athens Insider,https://www.athensinsider.com/,Media / Creative,,,Greece,Athens,"Athens, Greece","Media / Creative company founded by Sudha Nair-Iliades in Athens, Greece.",pending,0,2026-08-26 08:57:28,,,,,,Not found in current web pass
95,d2hire-recruitment,D2HIRE Recruitment Solutions S.R.L.,https://d2hire.com/,Business / Immigration Services,,,Romania,Ploiești,"Ploiești, Romania","Business / Immigration Services company founded by Prijoy Mathew Thomas in Ploiești, Romania.",pending,0,2026-08-26 09:06:12,info@d2hire.com,Business/public contact,Official website,High,https://d2hire.com/contact/,Found
96,naan-bar,Naan Bar,https://www.naanbar.com/,Restaurant / Indian / South Indian,,,Malta,Valletta,"Valletta, Malta","Restaurant / Indian / South Indian company founded by Amruda Nair in Valletta, Malta.",approved,0,2026-08-26 09:06:12,info@naanbar.com,Business/public contact,Official event PDF / website,High,https://www.naanbar.com/,Found
97,mez-indo-coastal-cuisine,MÉZ Indo-Coastal Cuisine,https://mezrestaurants.com/,Restaurant / South Indian / Kerala Food,,,Malta,St Julian's,"St Julian's, Malta","Restaurant / South Indian / Kerala Food company founded by Amruda Nair in St Julian's, Malta.",approved,0,2026-08-26 09:06:12,,,,,,Not found in current web pass
98,chatterbox-malta,Chatterbox,https://www.araiyahotels.com/,Restaurant / Indian / South Indian,,,Malta,St Paul's Bay,"St Paul's Bay, Malta","Restaurant / Indian / South Indian company founded by Amruda Nair in St Paul's Bay, Malta.",approved,0,2026-08-26 09:06:12,,,,,,Not found in current web pass
99,michael-paul-zachariah,Chef Michael Paul Zachariah,,Restaurant / Food & Beverage,,,Malta,Floriana,"Floriana, Malta","Restaurant / Food & Beverage company founded by Michael Paul Zachariah in Floriana, Malta.",approved,0,2026-08-26 09:06:12,,,,,,Not found in current web pass
100,kerala-exotic-supermarket,Kerala Exotic Supermarket,https://keralasupermarket.sk/,Kerala Grocery / Food Retail / Online Retail,,,Slovakia,Bratislava,"Bratislava, Slovakia","Kerala Grocery / Food Retail / Online Retail company founded by Avinash Vijayakumar, Jose Nilavoor in Bratislava, Slovakia.",approved,0,2026-08-26 09:06:12,,,,,,Website found; email not confirmed in current pass
101,avn-kerala,AVN Kerala s.r.o.,,Professional Services,,,Slovakia,Bratislava,"Bratislava, Slovakia","Professional Services company founded by Avinash Vijayakumar in Bratislava, Slovakia.",pending,0,2026-08-26 09:06:12,,,,,,Not found in current web pass
102,ayaan-sro,AYAAN s.r.o.,,Professional Services,,,Slovakia,Bratislava,"Bratislava, Slovakia","Professional Services company founded by Avinash Vijayakumar in Bratislava, Slovakia.",pending,0,2026-08-26 09:06:12,,,,,,Not found in current web pass
103,euro-middle-east,Euro Middle East s.r.o.,,Professional Services,,,Slovakia,Bratislava,"Bratislava, Slovakia","Professional Services company founded by Jamsheer Pengattiri in Bratislava, Slovakia.",approved,0,2026-08-26 09:06:12,,,,,,Not found in current web pass
104,euroxis,EUROXIS s.r.o.,,Professional Services,,,Slovakia,Bratislava,"Bratislava, Slovakia","Professional Services company founded by Jamsheer Pengattiri, Sagarkhan Kassim in Bratislava, Slovakia.",approved,0,2026-08-26 09:06:12,,,,,,Not found in current web pass
105,euromaxis-pengattiri,Jamsheer Pengattiri - EUROMAXIS,,Retail / Consumer,,,Slovakia,Gabčíkovo,"Gabčíkovo, Slovakia","Retail / Consumer company founded by Jamsheer Pengattiri in Gabčíkovo, Slovakia.",approved,0,2026-08-26 09:06:12,,,,,,Not found in current web pass
106,food-pack,FOOD PACK d.o.o.,,Restaurant / Food & Beverage,,,Slovenia,Ljubljana,"Ljubljana, Slovenia","Restaurant / Food & Beverage company founded by Julija Puthuveettil in Ljubljana, Slovenia.",pending,0,2026-08-26 09:06:12,foodpackslovenia@gmail.com,Business/public contact,Business registry/directory,Medium,https://www.companywall.si/podjetje/food-pack-doo/MMC1uJXR,Found
107,bollywood-ljubljana,Bollywood,https://www.bollywood.si,Restaurant / Indian / South Indian,,,Slovenia,Ljubljana,"Ljubljana, Slovenia","Restaurant / Indian / South Indian company founded by Ljubomir Petrović, Puthuveettil Nishabudheen in Ljubljana, Slovenia.",pending,0,2026-08-26 09:06:12,,,,,,Not found in current web pass
108,ila-and-co,ILA & Co.,,Startup Advisory / Innovation,,,Slovenia,Ljubljana,"Ljubljana, Slovenia","Startup Advisory / Innovation company founded by Akhil Mathew in Ljubljana, Slovenia.",pending,0,2026-08-26 09:06:12,,,,,,Not found in current web pass
109,maya-ayurveda,Maya Ayurveda,https://www.mayaayurveda.com/,Healthcare / Ayurveda / Wellness,,,Slovenia,Ljubljana,"Ljubljana, Slovenia","Healthcare / Ayurveda / Wellness company founded by Dr. Siju Sukumaran in Ljubljana, Slovenia.",approved,0,2026-08-26 09:06:12,info@mayaayurveda.com,Business/public contact,Official website,High,https://www.mayaayurveda.com/,Found
110,ega-vida-wellness,EGA VIDA WELLNESS,https://www.egavida.eu,Healthcare / Ayurveda / Wellness,,,Slovenia,Domanjševci,"Domanjševci, Slovenia","Healthcare / Ayurveda / Wellness company founded by Shiyas Hussain Sheriff Hussain in Domanjševci, Slovenia.",approved,0,2026-08-26 09:06:12,,,,,,Not found in current web pass
111,pepper-leaf,Pepper Leaf,https://www.pepperleaf.pl/,Restaurant / Kerala Food,,,Poland,Kraków,"Kraków, Poland","Restaurant / Kerala Food company founded by Four IT engineers from Kerala in Kraków, Poland.",approved,0,2026-08-26 09:13:57,,,,,,Not found in current web pass
112,kerala2krakow,Kerala2Krakow (K2K) Restaurant,https://k2krestaurant.com,Restaurant / Kerala Food,,,Poland,Kraków,"Kraków, Poland","Restaurant / Kerala Food company founded by Lijo Philip in Kraków, Poland.",approved,0,2026-08-26 09:13:57,,,,,,Not found in current web pass
113,kalikut-1498,Kalikut 1498,,Food / Consumer,,,Poland,Kraków,"Kraków, Poland","Food / Consumer company founded by Lijo Philip in Kraków, Poland.",approved,0,2026-08-26 09:13:57,,,,,,Not found in current web pass
114,kerala-cash-and-carry,Kerala Cash and Carry,,Kerala Grocery / Food Retail / Online Retail,,,Poland,Kraków,"Kraków, Poland","Kerala Grocery / Food Retail / Online Retail company founded by Lijo Philip in Kraków, Poland.",approved,0,2026-08-26 09:13:57,,,,,,Not found in current web pass
115,malayali-beer,MALAYALI,https://malayali.rocks/,Food / Consumer,,,Poland,Warsaw,"Warsaw, Poland","Food / Consumer company founded by Chandramohan Nallur, Sargheve Sukumaran, Pradeep Kumar Nayar, Padma Kumar Chungath Karunakaran in Warsaw, Poland.",approved,0,2026-08-26 09:13:57,malayali@malayali.rocks,Business/public contact,Official website,High,https://malayali.rocks/,Found
116,mercado360-ayurvod,Mercado 360 / Ayurvod,https://www.mercado360.eu/,Professional Services,,,Poland,Warsaw,"Warsaw, Poland","Professional Services company founded by Midhun Mohan V.M. in Warsaw, Poland.",approved,0,2026-08-26 09:13:57,,,,,,Not found in current web pass
117,united-kerala-international,United Kerala International Sp. z o.o.,,Business / Immigration Services,,,Poland,Kraków,"Kraków, Poland","Business / Immigration Services company founded by Wasim Akram Nazeer Reena, Leo Kolady Babu in Kraków, Poland.",pending,0,2026-08-26 09:13:57,,,,,,Not found in current web pass
118,madras-bistro,Madras Bistro,https://madrasbistro.pl/,Restaurant / South Indian / Kerala Food,,,Poland,Kraków,"Kraków, Poland","Restaurant / South Indian / Kerala Food company founded by Livin Victor in Kraków, Poland.",pending,0,2026-08-26 09:13:57,,,,,,Not found in current web pass
119,kera-oriental,KERA Oriental,https://www.keraoriental.pl/,Healthcare / Ayurveda / Wellness,,,Poland,Kraków,"Kraków, Poland","Healthcare / Ayurveda / Wellness company founded by Rejit Jose in Kraków, Poland.",pending,0,2026-08-26 09:13:57,,,,,,Not found in current web pass
120,ayura-ayurveda,Ayura Ayurveda,,Healthcare / Ayurveda / Wellness,,,Poland,Kraków,"Kraków, Poland","Healthcare / Ayurveda / Wellness company founded by Dr Vijesh M. in Kraków, Poland.",pending,0,2026-08-26 09:13:57,,,,,,Not found in current web pass
